City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Kodiak,US,57.79,-152.4072,36.91,87,75,0.0,broken clouds
240,Alexandria,EG,31.2156,29.9553,57.36,70,0,9.55,clear sky
241,Jalu,LY,29.0331,21.5482,54.39,21,0,10.11,clear sky
242,Pisco,PE,-13.7,-76.2167,66.25,82,0,8.05,clear sky
243,Arlit,NE,18.7369,7.3853,72.75,12,12,6.98,few clouds
244,Belovo,RU,54.4165,86.2976,18.7,85,100,5.61,overcast clouds
245,Esperance,AU,-33.8667,121.9,66.04,84,100,20.38,light rain
246,Westport,US,41.1415,-73.3579,44.1,91,100,10.36,overcast clouds
247,Birkeland,NO,58.3309,8.2323,33.35,80,0,3.44,clear sky
248,Ajuchitlan,MX,20.7167,-100.0167,54.79,26,0,5.97,clear sky
249,Rocha,UY,-34.4833,-54.3333,62.19,84,75,9.46,broken clouds
250,Ukiah,US,39.1502,-123.2078,61.65,74,0,5.75,clear sky
251,Provideniya,RU,64.3833,-173.3,19.94,81,95,1.88,overcast clouds
252,Norsup,VU,-16.0667,167.3833,83.14,77,100,3.18,light rain
253,Arraial Do Cabo,BR,-22.9661,-42.0278,76.46,92,9,8.77,clear sky
254,Alofi,NU,-19.0595,-169.9187,80.98,80,95,18.54,light rain
255,Irpa Irpa,BO,-17.7167,-66.2667,59.85,83,96,1.12,overcast clouds
256,Suoyarvi,RU,62.0833,32.35,14.47,82,99,14.2,overcast clouds
257,Neuquen,AR,-38.9516,-68.0591,62.49,51,0,5.75,clear sky
258,Sitka,US,57.0531,-135.33,44.49,65,20,11.5,few clouds
259,Kavaratti,IN,10.5669,72.642,82.51,70,8,3.83,clear sky
260,Garowe,SO,8.4054,48.4845,71.44,50,4,3.09,clear sky
261,Sumbe,AO,-11.2061,13.8437,78.76,87,100,6.15,overcast clouds
262,Gonbad-E Qabus,IR,37.25,55.1672,48.27,66,0,1.57,clear sky
263,Pencaitland,GB,55.9073,-2.8949,41.02,93,5,2.89,clear sky
264,Husavik,IS,66.0449,-17.3389,35.82,83,99,14.9,overcast clouds
265,Victoria,HK,22.2855,114.1577,75.25,84,93,3.0,overcast clouds
266,Hovd,MN,48.0056,91.6419,36.61,22,93,3.96,overcast clouds
267,Nedjo,ET,9.5046,35.5019,60.01,38,58,1.19,broken clouds
268,Chiang Khong,TH,20.2613,100.4046,95.43,25,48,2.35,scattered clouds
269,Bimbo,CF,4.2567,18.4158,71.64,70,25,1.57,scattered clouds
270,Luebo,CD,-5.35,21.4167,70.12,90,100,1.28,overcast clouds
271,Killybegs,IE,54.6333,-8.45,47.19,77,43,6.06,scattered clouds
272,Kharp,RU,66.8014,65.8081,4.12,96,98,5.82,overcast clouds
273,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.18,89,80,13.98,broken clouds
274,Lavrentiya,RU,65.5833,-171.0,15.69,91,100,2.21,overcast clouds
275,Ambala,IN,30.3783,76.7808,88.5,11,0,10.71,clear sky
276,Doha,QA,25.2867,51.5333,68.31,42,0,20.71,clear sky
277,Sidi Ali,DZ,36.0998,0.4206,50.74,80,0,2.08,clear sky
278,Taltal,CL,-25.4,-70.4833,66.97,69,0,4.83,clear sky
279,Burnie,AU,-41.0667,145.9167,67.26,79,53,10.29,broken clouds
280,Bengkulu,ID,-3.8004,102.2655,85.1,62,30,8.5,scattered clouds
281,Kloulklubed,PW,7.0419,134.2556,79.3,74,100,13.65,overcast clouds
282,Taldan,RU,53.6667,124.8,31.59,57,54,4.25,broken clouds
